   ,DEL_DATE,SHOP_CODE,MATERIAL,RAKE,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,REMARKS,DELAY_DET_CODE,AGENCY_CODE,DELAY_FREQ,CONTINUED,EXPECTED_DOC,EFF_DURATION,USER_ENTERED,TMSTP_ENTERED,USER_MODIFIED,TMSTP_MODIFIED,DELAY_ID,DELAY_REF_ID,FORMATTED_TIME,TOTAL_MINUTES
1,31-03-2005,1,,,10.3,18,7.3,7.3,UNKNOWN,CC-8,CC-8 STREAM U/SD,,SD,1,,,7.5,,,,,12,,07:30,450
2,31-03-2005,5,,,16.4,20.2,3.4,3.4,F/C-2,NONE,OFF BLAST-POOR OFF TAKE,541,MIS,1,,,3.666666667,,,,,13,,03:40,220
3,31-03-2005,8,8R,,10,10.45,0.45,0.45,MILL,LINE-2,S-20 RING BROKEN-WATER CLING NOZZLE JAMMED-WS,895,S,1,,,0.1875,,,,,14,,00:45,45
4,31-03-2005,2,,,14,15,1,1,UNKNOWN,CO-45,DECK SHEET CLEANING,,0,1,,,1,,,,,15,,01:00,60
5,31-03-2005,1,,,10.3,18,7.3,7.3,UNKNOWN,"CC-15,19","CC-15,19,22 U/SD",,SD,1,,,7.5,,,,,16,,07:30,450
6,31-03-2005,4,,,19,0,5,5,M/C-2,NONE,IDLE,0,ID,1,,,5,,,,,17,,05:00,300
7,31-03-2005,2,I-O-L,577,0.1,0.3,0.2,0.2,OT-1,NONE,STREAM CHG,180,C,1,,,0.333333333,,,,,18,,00:20,20
8,31-03-2005,2,BF-COK,,17,3.4,10.4,10.4,OT-3,NONE,NO DEMAND,50,MIS,1,,,10.66666667,,,,,19,,10:40,640
9,31-03-2005,2,,,,,0,0,OT-1,NONE,Don't delete this record,,MIS,0,,,0,,,,,20,,00:00,0
10,31-03-2005,1,,,5,6,1,1,CT-1,NONE,IDLE,0,ID,1,Y,,1,,,,,21,,01:00,60
11,31-03-2005,1,,,2.35,4.4,2.05,2.05,CT-2,NONE,IDLE,0,ID,1,,,2.083333333,,,,,22,,02:05,125
12,31-03-2005,1,BC,451,4.4,5,0.2,0.2,CT-2,NONE,RC & PWT,121,C,1,,,0.333333333,,,,,23,,00:20,20
13,31-03-2005,4,,,6.45,7.15,0.3,0.3,M/C-2,NONE,BF CONY STOPPED,450,MIS,1,,,0.5,,,,,24,,00:30,30
14,31-03-2005,3,,,9,18.45,9.45,9.45,UNKNOWN,DE-5,U/SD,,SD,1,,,9.75,,,,,25,,09:45,585
15,31-03-2005,4,,,10,10.25,0.25,0.25,M/C-2,B FEEDER,RUBBER PIECE STUCK UP,255,M,1,,,0.416666667,,,,,26,,00:25,25
16,31-03-2005,6,,,22.15,23.15,1,1,CONV-A,NONE,CHARGE PAD PATCHING,638,O,1,,,1,,,,,27,,01:00,60
17,31-03-2005,5,,,22.45,0,1.15,1.15,F/C-2,NONE,PR 2.85/4500--(PLACEMENT DELAY),538,O,1,,,1.25,,,,,28,,01:15,75
18,31-03-2005,6,,,23.2,2.3,3.1,3.1,CCM-2,NONE,U/P ( PLANNED CLOSURE ),692,O,1,,,3.166666667,,,,,29,,03:10,190
19,31-03-2005,9,BLT65,,0,0,0.15,0.15,MILL,NONE,HEAT CHG,718,C,1,,,0.25,,,,,94,,00:15,15
20,31-03-2005,10,,,16.1,20.45,4.35,4.35,GETS,TG-2,ON MOTOR MODE -- BF-2 PROB.,,S,1,,,4.583333333,,,,,95,,04:35,275
21,31-03-2005,3,,,1.5,5.4,3.5,3.5,CPP,Y-11,BELT FOLDED,270,M,1,,,3.833333333,,,,,96,,03:50,230
22,31-03-2005,5,,,6,6.5,0.5,2.15,F/C-1,NONE,PR 2.61/4500 -- HEAVY COKE RUSH,522,O,1,,,0.833333333,,,,,97,,00:50,50
23,31-03-2005,8,8R,,20,20.1,0.1,0.1,MILL,NONE,ROD FEED LINE COBBLE+ S-13 ERG CHANGING-GS,710,S,1,,,0.166666667,,,,,98,,00:10,10
24,31-03-2005,9,,,,,0,0,MILL,NONE,Don't delete this record,,MIS,0,,,0,,,,,99,,00:00,0
25,31-03-2005,8,8R,,14.05,14.25,0.2,0.2,MILL,NONE,MILL CHECKING,870,C,1,,,0.333333333,,,,,100,,00:20,20
26,31-03-2005,6,,,6.2,7.3,1.1,1.1,CONV-A,TH,TH CHG & GUNNETTING,628,O,1,,,1.166666667,,,,,101,,01:10,70
27,31-03-2005,9,BLT65,,10.3,11.3,1,1,MILL,"S-5,13,14",PASS CHG,725,C,1,,,1,,,,,102,,01:00,60
28,31-03-2005,5,,,8.05,8.55,0.5,0.5,F/C-2,TH-6,PR 0.5/1400 TH-6 CLOSING PROB.,519,O,1,,,0.833333333,,,,,103,,00:50,50
29,31-03-2005,6,,,6,6,24,106,CONV-C,NONE,U/SD FOR RELINING AFTER 2864 HEATS,625,SD,1,Y,05.04.2005,24,,,,,104,,24:00:00,1440
30,31-03-2005,8,8R,,9.5,10.25,0.35,0.35,MILL,LINE-1,COBBLE BETWEEN S-20 & 21,830,O,1,,,0.145833333,,,,,105,,00:35,35
31,31-03-2005,4,,,5,6,1,1,BRC,BED-A,BKT WHEEL -2 FLUID COUPLING OIL LEAKAGE,185,M,1,Y,,1,,,,,106,,01:00,60
32,31-03-2005,1,,,6,0.5,18.5,19.1,CT-1,NONE,IDLE,0,ID,1,,,18.83333333,,,,,107,,18:50,1130
33,31-03-2005,6,,,14,15.1,1.1,1.1,CONV-A,NONE,CHARGE PAD PATCHING,638,O,1,,,1.166666667,,,,,108,,01:10,70
34,31-03-2005,6,,,17.2,17.5,0.3,0.3,CONV-A,NONE,TRACK DOZZING,624,O,1,,,0.5,,,,,109,,00:30,30
35,31-03-2005,6,,,16.3,6,13.3,13.3,MIXER-1,NONE,U/SD FOR MID CAMPAIGN REPAIRS-42 DAYS,100,SD,1,Y,12.05.2005,13.5,,,,,110,,13:30,810
36,31-03-2005,1,,,6,7.15,1.15,22.55,CT-2,NONE,IDLE,0,ID,1,,,1.25,,,,,111,,01:15,75
37,31-03-2005,2,I-O-F,180,6,7.45,1.45,2.15,OT-1,NONE,1E WAGON  DERAILED,143,O,1,,,1.75,,,,,112,,01:45,105
38,31-03-2005,5,,,8.55,9.55,1,1,F/C-2,TH-6,PR 2.55/4600TH-6 CLOSING PROB.,518,O,1,,,1,,,,,113,,01:00,60
39,31-03-2005,6,,,,,0,0,CCM-6,NONE,Don't delete this record,,MIS,0,,,0,,,,,114,,00:00,0
40,31-03-2005,6,,,,,0,0,CONV-B,NONE,Don't delete this record,,MIS,0,,,0,,,,,115,,00:00,0
